"sym1","sym2","weight"
"SPY","EWC",0.275299645280183
"SPY","EWW",0.373865503053571
"SPY","EWU",0.226424625074931
"SPY","EWG",0.26183180460457
"SPY","EWI",0.318935224157776
"SPY","EWP",0.338985958923568
"SPY","EPU",0.517087304960671
"SPY","EWZ",0.467428290451103
"SPY","ARGT",0.376627542036419
"SPY","ERUS",0.423594255856024
"SPY","EWY",0.350501384838999
"SPY","EWJ",0.257710720281601
"SPY","MCHI",0.316526107272403
"SPY","EWS",0.352689140808391
"SPY","EWA",0.313749351150907
"SPY","INDA",0.343548957673784
"SPY","EZA",0.373994303859255
"EWC","EWW",0.330025104771666
"EWC","EWU",0.248708956799967
"EWC","EWG",0.369952835282693
"EWC","EWI",0.377671111564724
"EWC","EWP",0.367900002489947
"EWC","EPU",0.347511166357811
"EWC","EWZ",0.388670885387943
"EWC","ARGT",0.300402605514917
"EWC","ERUS",0.276111624832858
"EWC","EWY",0.333185815357733
"EWC","EWJ",0.427572798332849
"EWC","MCHI",0.407679824654817
"EWC","EWS",0.339579736232244
"EWC","EWA",0.291792045380518
"EWC","INDA",0.419264097518478
"EWC","EZA",0.330176779940375
"EWW","EWU",0.347763719433512
"EWW","EWG",0.396333582966336
"EWW","EWI",0.424749514535866
"EWW","EWP",0.396860029672316
"EWW","EPU",0.487524165242386
"EWW","EWZ",0.326511843287462
"EWW","ARGT",0.394903090419779
"EWW","ERUS",0.412434953889677
"EWW","EWY",0.318304153224642
"EWW","EWJ",0.459248813999727
"EWW","MCHI",0.42490151971097
"EWW","EWS",0.37753304310345
"EWW","EWA",0.366894795702497
"EWW","INDA",0.402168392490619
"EWW","EZA",0.268369106796035
"EWU","EWG",0.178885849120083
"EWU","EWI",0.201971062849214
"EWU","EWP",0.196064116569016
"EWU","EPU",0.47192169318327
"EWU","EWZ",0.461773323460384
"EWU","ARGT",0.380590006318101
"EWU","ERUS",0.410694738437723
"EWU","EWY",0.318303251448573
"EWU","EWJ",0.328170588654329
"EWU","MCHI",0.343999864185308
"EWU","EWS",0.315933175414447
"EWU","EWA",0.285081990667069
"EWU","INDA",0.374700867958826
"EWU","EZA",0.313956255953236
"EWG","EWI",0.144639974568415
"EWG","EWP",0.159815232654531
"EWG","EPU",0.574620244258523
"EWG","EWZ",0.514460041606026
"EWG","ARGT",0.431523776738548
"EWG","ERUS",0.496648923060609
"EWG","EWY",0.366136071260808
"EWG","EWJ",0.341846601244541
"EWG","MCHI",0.392937389088764
"EWG","EWS",0.381272598689232
"EWG","EWA",0.368781121297277
"EWG","INDA",0.41308389878801
"EWG","EZA",0.368439206074229
"EWI","EWP",0.0987364105076185
"EWI","EPU",0.575160102229219
"EWI","EWZ",0.512862148147779
"EWI","ARGT",0.44002946832683
"EWI","ERUS",0.484127758063078
"EWI","EWY",0.404828618911261
"EWI","EWJ",0.408281388826427
"EWI","MCHI",0.427340234040144
"EWI","EWS",0.426525611776892
"EWI","EWA",0.410641522293656
"EWI","INDA",0.456122230936493
"EWI","EZA",0.407864036705125
"EWP","EPU",0.552627856801048
"EWP","EWZ",0.478733264664351
"EWP","ARGT",0.416338235313101
"EWP","ERUS",0.480727346495739
"EWP","EWY",0.40141747320285
"EWP","EWJ",0.400655608705656
"EWP","MCHI",0.446943040816197
"EWP","EWS",0.391121847626022
"EWP","EWA",0.410738482039026
"EWP","INDA",0.456020226526481
"EWP","EZA",0.389229087884947
"EPU","EWZ",0.455927570546721
"EPU","ARGT",0.406626318318952
"EPU","ERUS",0.485071099104028
"EPU","EWY",0.474378768636235
"EPU","EWJ",0.619730440146441
"EPU","MCHI",0.527710522020098
"EPU","EWS",0.436742162170536
"EPU","EWA",0.481230981911648
"EPU","INDA",0.515833976855746
"EPU","EZA",0.445331714899675
"EWZ","ARGT",0.414388869399257
"EWZ","ERUS",0.409381535849292
"EWZ","EWY",0.410622360721632
"EWZ","EWJ",0.540065517385078
"EWZ","MCHI",0.484862292091133
"EWZ","EWS",0.435830156075428
"EWZ","EWA",0.444950871424769
"EWZ","INDA",0.474960665268143
"EWZ","EZA",0.342423453413564
"ARGT","ERUS",0.423159375460149
"ARGT","EWY",0.431532471786893
"ARGT","EWJ",0.453610437847008
"ARGT","MCHI",0.44108604514804
"ARGT","EWS",0.418237032069002
"ARGT","EWA",0.450979709488708
"ARGT","INDA",0.458230046929845
"ARGT","EZA",0.423709488195949
"ERUS","EWY",0.451368314854287
"ERUS","EWJ",0.52246504751816
"ERUS","MCHI",0.470426280318645
"ERUS","EWS",0.449490964008729
"ERUS","EWA",0.417474130330638
"ERUS","INDA",0.481160724185576
"ERUS","EZA",0.393095997514804
"EWY","EWJ",0.372664585470205
"EWY","MCHI",0.30906815802044
"EWY","EWS",0.245341559853415
"EWY","EWA",0.279228394767049
"EWY","INDA",0.368455687446431
"EWY","EZA",0.269096000528898
"EWJ","MCHI",0.352288440523335
"EWJ","EWS",0.397867930399744
"EWJ","EWA",0.374863410836959
"EWJ","INDA",0.411249177922294
"EWJ","EZA",0.45978346663024
"MCHI","EWS",0.315425519566315
"MCHI","EWA",0.36155017016225
"MCHI","INDA",0.379478221161347
"MCHI","EZA",0.357053356417004
"EWS","EWA",0.281467970295143
"EWS","INDA",0.386751268069022
"EWS","EZA",0.317245878893238
"EWA","INDA",0.409234923402577
"EWA","EZA",0.33463532633539
"INDA","EZA",0.390542203358645
